GSM1887730	GSM2177026	GSM2177021	GSM2177023	GSM2177019	GSM2177022	GSM2177027	GSM2177025	GSM2177024	GSM2177018	GSM2177020	GSM2177017	GSM2828480	GSM2828481	GSM2828482	GSM2828483	GSM2828484	GSM2828485	GSM3407112	GSM3407113	GSM3407114
1110059G10Rik	6349	431	770	766	339	1167	658	744	979	181	268	321	325	304	452	658	498	790	38	65	72
1110065P20Rik	551	3	9	0	5	125	10	32	81	7	2	0	117	123	151	209	162	261	10	12	11
1190002N15Rik	10657	158	91	224	33	207	178	222	389	43	38	23	808	629	235	816	768	586	152	142	252
1190003K10Rik	0	0	0	4	0	0	64	0	16	0	0	0	0	0	0	0	0	0	0	0	0
1190005I06Rik	183	0	7	0	4	0	0	0	0	3	4	7	18	81	92	34	27	40	0	2	4
1190007I07Rik	714	31	7	5	7	38	29	32	22	8	9	6	102	148	257	257	231	243	5	12	15
1300017J02Rik	21	0	16	0	2	23	11	0	11	0	14	2	62	104	81	76	69	59	1	1	2
1500009C09Rik	0	4	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	1	0	0
1500009L16Rik	1345	4	24	0	14	0	0	0	0	7	9	11	33	19	23	78	66	122	0	0	1
1500011B03Rik	3287	0	35	0	18	0	0	0	10	5	14	13	279	347	383	566	533	541	40	42	52
1500011K16Rik	1213	16	124	39	66	191	66	28	65	44	111	53	123	217	317	313	247	341	11	16	33
1500015O10Rik	5	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	3	0	2	0	0
1520401A03Rik	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	3	1	0
1600002H07Rik	921	8	61	11	34	78	0	0	34	17	40	21	58	64	113	194	120	191	10	5	23
1600002K03Rik	1290	0	47	12	24	8	0	0	0	11	17	10	167	188	328	357	290	310	5	11	24
1600012H06Rik	5206	54	281	37	100	239	20	68	169	73	130	120	584	705	455	701	732	684	61	66	99
1600014C10Rik	29632	132	795	41	380	72	191	80	99	173	313	331	1255	1258	907	2155	1907	1549	123	122	182
1600014C23Rik	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
1600015I10Rik	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1600029O15Rik	49	10	15	0	3	89	1	35	37	5	9	6	18	9	2	12	5	12	9	2	11
1700001C02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
1700001C19Rik	9	21	38	11	36	41	3	31	23	2	33	21	6	6	6	16	21	20	2	0	2
1700001F09Rik	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700001J03Rik	6	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
1700001J11Rik	9	0	4	0	4	4	0	0	1	0	0	2	7	6	5	8	7	7	0	1	1
1700001K19Rik	71	0	2	0	0	0	0	0	0	0	0	2	2	2	3	1	2	6	0	0	0
1700001L19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
1700001O22Rik	28	0	0	0	0	0	0	0	10	0	0	0	4	2	6	6	7	1	1	0	0
1700001P01Rik	4	0	0	0	0	0	0	0	0	0	0	0	2	0	3	1	2	0	0	0	2
1700003E16Rik	2	0	0	0	0	2	0	0	0	0	0	0	1	1	4	0	0	1	0	0	0
1700003F12Rik	6	0	4	0	0	0	0	0	0	0	0	0	14	38	46	1	0	1	0	0	2
1700003H04Rik	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
1700003N22Rik	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700006A11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
1700006E09Rik	0	0	0	0	0	0	0	0	0	0	0	0	1	4	8	3	4	6	0	0	0
1700007B14Rik	4	0	0	12	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700007E05Rik	38	33	24	23	4	100	0	22	62	0	14	6	7	1	1	5	2	9	1	0	2
1700007G11Rik	0	0	0	4	0	12	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1
1700007K09Rik	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
1700007K13Rik	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0
1700008O03Rik	34	0	9	62	8	43	0	31	113	0	3	7	13	9	11	23	14	13	1	7	4
1700008P02Rik	0	0	0	0	0	12	0	1	0	0	0	0	0	0	0	0	0	0	1	2	1
1700009N14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1700010B08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
1700010I14Rik	249	0	23	10	18	67	0	0	13	7	12	3	27	48	44	43	37	64	3	3	1
1700010N08Rik	0	0	0	5	0	0	4	0	0	0	0	0	0	0	0	0	0	0	5	3	3
1700011E24Rik	3	0	0	10	0	39	0	0	0	0	0	0	1	2	1	0	1	1	1	0	0
1700011H14Rik	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1
1700011I03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	2	0	0
1700011L22Rik	2	0	0	0	0	0	0	0	10	0	0	0	0	1	0	0	0	0	0	0	1
1700011M02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700012A03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
1700012B07Rik	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
1700012B09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	9	2	7	6	12	0	0	0
1700012L04Rik	7	0	0	0	0	0	0	0	0	0	0	0	0	0	5	7	0	2	0	0	0
1700012P22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700013D24Rik	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700013F07Rik	6	1	2	0	3	24	0	11	0	1	0	0	2	2	3	0	0	1	1	1	0
1700013G24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700013H16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700014D04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1
1700015E13Rik	3	0	14	0	4	0	0	0	0	0	1	0	22	13	3	11	7	6	0	0	1
1700015F17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0
1700015G11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700016C15Rik	3	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	2	1	0	1	0
1700016D06Rik	47	0	9	13	1	71	18	33	42	1	0	0	25	15	10	13	13	24	5	7	4
1700016H13Rik	0	6	2	7	0	61	3	22	39	0	0	0	0	0	0	0	0	0	0	0	0
1700016K19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1700017B05Rik	10967	124	79	153	48	584	219	73	256	89	54	73	6018	1589	1572	3413	2782	3392	161	155	196
1700017D01Rik	4	0	0	42	3	73	25	7	47	0	0	0	5	5	2	2	6	2	0	2	7
1700017N19Rik	0	0	6	0	0	43	0	0	25	0	0	0	0	0	0	0	0	0	1	0	1
1700018B08Rik	0	0	0	0	0	18	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
1700018C11Rik	2	0	0	0	0	0	12	0	0	0	0	0	0	0	0	1	0	0	0	0	0
1700018F24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0
1700018M17Rik	4	0	0	0	0	0	0	0	0	0	0	0	4	3	5	3	0	4	0	0	0
1700019A02Rik	2	0	0	0	0	0	19	10	0	0	0	0	0	0	0	0	0	0	0	0	0
1700019B03Rik	0	0	0	0	0	0	0	0	0	0	0	0	9	0	1	1	0	5	1	0	1
1700019D03Rik	130	0	93	196	72	608	19	32	185	39	36	58	24	25	18	35	51	49	6	7	18
1700019M22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700019N19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
1700019O17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
1700020A23Rik	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700020D05Rik	47	0	10	0	7	0	0	0	0	3	3	4	0	2	5	2	2	7	1	0	0
1700020L24Rik	176	0	1	0	0	0	0	0	0	0	0	0	61	56	208	101	65	148	0	0	1
1700020N01Rik	0	0	0	0	0	0	0	0	0	0	0	0	1	7	7	0	0	0	1	0	1
1700020N15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700021F05Rik	1332	19	165	55	101	106	70	21	34	13	25	54	157	168	214	267	217	274	6	11	32
1700021F07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
1700022A21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
1700022I11Rik	19	0	1	0	3	0	1	0	0	1	1	0	3	0	3	8	1	2	1	0	2
1700023F06Rik	3	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700024B05Rik	0	0	0	0	0	35	2	0	0	0	0	0	0	0	0	0	0	0	2	2	4
1700024G13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1700024J04Rik	23	9	20	2	13	49	13	14	49	0	9	7	5	5	1	8	6	7	13	6	6
1700024P04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
1700024P16Rik	267	1	59	3	13	62	0	8	49	30	21	40	536	239	89	691	705	444	172	168	203
1700025B11Rik	0	0	0	6	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
1700025C18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	2	0	1	2
1700025F22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
1700025G04Rik	1400	174	1396	563	799	731	266	182	625	30	756	262	129	105	187	286	240	269	6	9	12
1700028B04Rik	40	30	49	9	24	411	7	0	27	8	3	17	17	17	24	6	6	13	3	4	2
1700028J19Rik	285	2	15	0	6	2	0	1	6	0	1	4	46	31	37	162	137	116	9	8	13
1700028K03Rik	7	1	7	46	0	350	6	269	267	1	3	0	1	0	1	2	4	0	3	1	3
1700028P14Rik	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1700029F12Rik	4	0	0	20	0	14	0	0	33	0	0	0	4	7	2	11	3	4	1	3	2
1700029H14Rik	25	0	0	0	0	0	0	0	0	0	0	0	2	1	2	2	1	4	1	1	1
1700029I15Rik	82	0	3	0	5	0	0	0	0	3	2	1	64	65	42	46	29	29	3	0	6
1700029J07Rik	50	23	38	171	34	126	16	70	46	10	21	18	27	55	15	49	38	37	8	8	20
1700029P11Rik	1	0	0	0	0	18	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1
1700030C10Rik	11	0	0	0	0	0	0	0	0	0	0	0	13	9	12	6	5	5	0	1	0
1700030J22Rik	81	17	68	0	22	21	0	0	0	3	37	7	12	22	7	9	15	9	2	1	2
1700030K09Rik	1131	129	378	117	164	297	188	166	407	183	149	161	246	246	235	317	214	186	23	19	34
1700031F05Rik	0	12	0	0	0	20	0	0	61	0	0	0	0	0	0	0	0	0	2	0	4
1700031M16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1700034E13Rik	0	0	0	0	0	25	35	9	10	0	0	0	0	0	0	0	0	0	1	0	0
1700034I23Rik	2	13	8	0	10	0	7	0	0	0	0	0	2	0	0	2	0	0	2	0	1
1700034J05Rik	2	1	5	1	1	9	0	0	15	4	2	3	4	2	6	1	4	1	0	1	3
1700034O15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700037C18Rik	1839	369	257	293	136	1186	220	196	674	168	160	155	116	82	155	262	230	173	22	12	29
1700037H04Rik	670	0	7	8	1	4	0	0	1	1	4	5	342	446	686	543	417	541	5	16	26
1700039E15Rik	35	0	0	0	0	0	0	0	0	0	1	0	4	3	1	3	4	9	2	0	1
1700040F15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700040L02Rik	77	0	0	0	0	0	0	0	0	0	0	0	5	4	8	22	15	21	2	1	0
1700042G07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700047I17Rik2	1537	36	968	143	362	37	35	12	0	16	226	86	463	454	568	778	558	744	30	18	33
1700048O20Rik	310	17	10	19	0	28	0	8	17	1	0	3	50	60	55	76	91	59	7	5	2
1700049E17Rik1	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0
1700049E17Rik2	3	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0
1700049G17Rik	1161	4	89	56	76	68	77	30	35	5	33	18	78	136	68	95	109	81	36	22	45
1700049L16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1700056E22Rik	199	0	7	0	1	0	0	0	0	0	3	1	31	42	64	74	67	82	2	6	7
1700057G04Rik	19	0	12	0	4	166	38	0	43	10	0	1	5	9	6	2	4	4	8	1	2
1700061G19Rik	52	0	1	0	0	17	0	0	0	0	0	0	6	10	13	15	2	8	3	0	3
1700063K16Rik	0	0	0	0	0	11	0	0	16	0	0	0	0	0	2	1	0	1	0	1	0
1700064H15Rik	23	0	0	0	0	0	0	0	0	0	0	0	2	3	4	12	16	8	0	0	0
1700065I16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700066B19Rik	23	11	0	69	0	17	35	77	82	0	1	1	2	5	12	16	17	13	1	2	4
1700066M21Rik	1092	0	17	0	2	0	17	0	0	1	3	3	147	211	137	204	199	226	12	12	23
1700067K01Rik	20	0	0	0	0	0	0	0	0	0	0	0	5	13	7	5	6	10	2	1	0
1700067P10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700069L16Rik	0	11	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700071K01Rik	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700073E17Rik	2	0	1	0	3	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0
1700074P13Rik	0	0	0	0	0	19	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
1700080E11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1700080O16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
1700084J12Rik	2	5	3	29	3	198	10	2	139	0	4	0	4	7	13	2	3	4	1	0	0
1700084M14Rik	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1700086D15Rik	0	0	0	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0
1700086L19Rik	0	1	0	9	0	8	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
1700088E04Rik	98	33	26	26	15	194	46	12	59	0	4	5	16	13	9	13	17	20	1	1	0
1700091H14Rik	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
1700092M07Rik	29	0	2	0	0	0	0	0	0	0	0	0	5	2	1	8	5	2	0	0	2
1700093K21Rik	4	21	1	14	2	23	0	0	91	0	2	3	6	16	15	42	35	54	2	1	0
1700102P08Rik	32	0	8	0	5	0	0	0	0	1	8	4	13	18	11	6	22	18	1	1	1
1700109H08Rik	216	28	49	19	63	135	0	71	81	33	51	20	119	61	36	64	58	59	20	19	32
1700110I07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700112E06Rik	101	0	0	0	0	0	0	0	0	0	0	0	43	92	129	52	30	63	0	1	3
1700113H08Rik	1	0	0	0	0	0	0	0	0	0	0	0	2	4	1	0	0	0	0	0	1
1700122O11Rik	1	0	0	14	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700123I01Rik	38	0	6	20	0	16	4	16	0	0	2	0	36	20	32	18	18	12	4	2	4
1700123K08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
1700123L14Rik	3	0	1	5	0	13	19	1	7	0	0	0	0	0	0	0	0	0	0	0	0
1700123O20Rik	5744	15	113	0	53	4	0	36	6	23	44	31	855	741	1013	1549	1234	1444	69	83	117
1700125H20Rik	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	1	0	0
1700128F08Rik	144	13	166	37	133	358	45	52	30	28	201	95	93	77	49	151	140	150	61	51	93
1700129C05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1810009A15Rik	4733	47	1468	95	599	523	27	112	40	202	740	294	499	557	1161	1336	1049	1254	47	61	84
1810009J06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1810010H24Rik	65	0	3	0	0	11	0	0	2	0	0	1	15	6	18	3	11	11	2	1	10
1810011H11Rik	7	0	0	0	0	0	0	0	0	0	0	0	559	1483	1421	55	45	66	4	6	2
1810011O10Rik	0	0	0	1	0	0	0	1	47	0	0	0	16	30	23	11	1	7	0	0	1
1810013L24Rik	5704	48	141	44	42	168	50	63	116	46	64	43	740	934	369	663	675	501	84	67	85
1810018F18Rik	1	19	0	14	0	20	0	0	0	2	0	0	0	1	1	0	0	2	1	0	6
1810022K09Rik	7082	0	288	2	55	28	1	0	0	20	76	100	613	716	1120	1568	1254	1773	83	107	233
1810024B03Rik	553	31	33	8	31	38	12	0	19	17	34	13	13	30	33	71	51	56	7	7	13
1810026J23Rik	8712	0	44	34	30	0	0	2	16	22	35	33	1851	1178	669	1982	1847	1190	137	165	243
1810030O07Rik	12418	53	677	100	328	633	315	203	266	183	261	331	1294	1228	741	1957	1806	1411	169	146	274
1810032O08Rik	782	14	36	0	1	0	0	0	0	10	5	5	269	247	273	251	215	263	15	14	28
1810037I17Rik	7743	95	426	124	247	391	79	80	238	111	223	188	740	1047	2234	2210	1697	2485	55	55	122
1810041L15Rik	22	19	8	25	1	381	31	1	204	1	4	2	7	4	3	2	3	3	2	3	7
1810043G02Rik	1487	37	334	33	136	403	48	50	87	41	122	56	374	446	451	481	444	388	36	24	40
1810043H04Rik	1816	22	139	32	72	192	124	75	221	60	114	56	305	362	821	780	676	870	23	38	61
1810046K07Rik	0	0	2	12	0	0	0	0	0	0	0	0	5	4	7	2	0	0	0	0	1
1810049J17Rik	10	0	2	0	0	0	0	0	0	0	0	0	31	34	20	44	41	29	1	3	3
1810055G02Rik	772	0	13	0	1	0	0	0	0	1	9	4	256	206	193	301	255	209	11	8	14
1810062G17Rik	27	0	0	0	0	9	0	0	0	0	0	0	7	6	10	12	4	13	1	3	4
1810065E05Rik	3018	0	81	0	34	0	0	0	0	29	36	55	144	77	76	236	247	288	18	6	39
2010001K21Rik	2	0	0	0	0	0	0	0	34	0	0	0	0	0	1	0	0	2	0	0	0
2010003K11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010005H15Rik	14	0	0	24	0	55	0	0	19	0	0	0	0	0	5	3	1	2	0	0	3
2010010A06Rik	0	0	0	0	0	0	0	7	9	0	0	2	0	1	0	2	2	1	0	0	0
2010106E10Rik	0	0	0	0	0	20	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0
2010107E04Rik	11063	4	391	0	113	36	0	0	61	158	148	153	721	994	2521	2532	1889	2850	70	65	161
2010107G12Rik	91	0	5	0	3	0	0	0	0	0	0	0	27	25	11	40	58	35	6	8	15
2010107G23Rik	13	0	7	25	0	47	8	0	0	0	1	0	9	4	7	0	6	10	3	0	2
2010109A12Rik	36	0	11	0	6	1	1	1	1	2	3	6	19	7	35	15	12	21	1	1	2
2010109I03Rik	579	129	200	454	121	1325	344	250	703	63	101	68	43	20	43	42	29	45	45	24	48
2010111I01Rik	1639	0	46	0	10	20	4	0	0	10	8	19	596	595	473	541	421	478	51	38	67
2010300C02Rik	65	0	13	0	1	30	0	0	0	0	2	0	35	21	4	17	11	8	2	2	1
2010315B03Rik	1090	5	232	166	232	86	43	23	37	58	142	126	101	158	83	143	134	130	20	17	37
2200002D01Rik	27	83	72	44	48	210	90	85	110	13	74	40	44	28	57	77	61	79	1	1	5
2200002J24Rik	4	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	3	2	0	1	0
2210010C04Rik	2	0	3	22	1	0	0	0	0	0	0	1	13	5	17	2	9	6	3	3	4
2210011C24Rik	25	0	0	0	0	0	0	0	0	0	0	0	35	72	56	23	25	15	0	0	0
2210013O21Rik	1023	18	30	84	15	133	34	41	200	17	12	21	238	363	494	361	282	426	23	17	25
2210016F16Rik	5022	9	269	100	107	215	68	42	194	96	145	105	1236	1525	1815	1991	1693	1853	130	119	180
2210016L21Rik	4363	355	621	798	328	1145	593	319	1027	140	258	192	275	299	466	561	436	580	29	25	34
2210017I01Rik	28	0	5	1	0	23	0	0	3	0	0	0	6	8	13	8	5	20	7	2	6
2210404O09Rik	910	1	156	0	61	3	54	0	0	31	50	53	165	210	125	328	233	363	28	21	54
2210407C18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2210408I21Rik	278	0	20	41	19	173	0	9	182	3	3	8	33	42	34	34	45	42	5	6	16
2210409E12Rik	4	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0	0	0	0
2210418O10Rik	943	34	52	82	40	133	16	19	101	11	21	14	75	123	78	103	103	101	22	25	23
2300002M23Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2300003K06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2300009A05Rik	589	6	45	1	22	24	37	12	57	26	19	48	130	167	232	315	266	365	10	9	25
2310002L09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2310003L06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
2310007B03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
2310009B15Rik	768	0	30	0	8	2	0	13	0	6	13	13	107	92	186	176	175	217	5	7	20
2310011J03Rik	8293	64	191	113	103	372	119	176	547	47	104	58	862	947	1582	1690	1534	1498	66	77	136
2310022A10Rik	3034	61	171	285	74	443	68	179	326	64	102	93	444	451	346	633	528	529	66	59	124
2310022B05Rik	16519	15	277	52	95	12	50	14	0	47	114	62	402	231	169	872	780	683	76	67	106
2310030G06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
2310033P09Rik	2429	2763	763	3300	445	4012	2557	2891	1779	395	396	228	238	319	592	504	416	468	35	26	33
2310034C09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2310034G01Rik	180	0	0	0	0	11	0	7	0	4	0	0	15	22	36	33	16	26	1	2	6
2310035C23Rik	8400	508	1386	722	596	1974	455	203	822	400	623	573	1033	811	425	1212	1096	944	157	137	227
2310036O22Rik	10099	25	770	12	306	47	21	25	136	196	319	262	1101	1235	2275	2267	1732	2499	80	85	139
2310039H08Rik	2392	0	57	0	30	6	2	0	0	19	33	36	297	298	584	780	649	790	29	32	53
2310046K23Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2310050C09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2310057J18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
2310057M21Rik	1715	143	300	233	148	602	182	118	491	46	130	100	259	247	174	369	379	322	57	36	68
2310057N15Rik	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
